1549564082775,1009.588
1549564082776,1009.588
1549564082813,1009.588
1549564082854,1009.588
1549564082891,1009.5587
1549564082929,1009.5587
1549564082969,1009.5587
1549564083006,1009.5587
1549564083044,1009.56244
1549564083084,1009.56244
1549564083122,1009.56244
1549564083160,1009.56244
1549564083202,1009.56244
1549564083237,1009.56036
1549564083276,1009.56036
1549564083314,1009.56036
1549564083357,1009.56036
1549564083391,1009.55383
1549564083431,1009.55383
1549564083469,1009.55383
1549564083507,1009.55383
1549564083544,1009.5469
1549564083587,1009.5469
1549564083623,1009.5469
1549564083662,1009.5469
1549564083699,1009.54285
1549564083737,1009.54285
1549564083777,1009.54285
1549564083814,1009.54285
1549564083852,1009.5305
1549564083892,1009.5305
1549564083934,1009.5305
1549564083967,1009.5305
1549564084009,1009.5272
1549564084046,1009.5272
1549564084085,1009.5272
1549564084129,1009.5272
1549564084167,1009.5276
1549564084197,1009.5276
1549564084236,1009.5276
1549564084276,1009.5276
1549564084314,1009.52106
1549564084355,1009.52106
1549564084390,1009.52106
1549564084432,1009.52106
1549564084468,1009.52106
1549564084506,1009.5096
1549564084547,1009.5096
1549564084612,1009.5096
1549564084637,1009.5096
1549564084670,1009.5055
1549564084698,1009.5055
1549564084739,1009.5055
1549564084775,1009.5055
1549564084816,1009.49725
1549564084852,1009.49725
1549564084892,1009.49725
1549564084932,1009.49725
1549564084966,1009.4952
1549564085005,1009.4952
1549564085045,1009.4952
1549564085089,1009.4952
1549564085121,1009.4894
1549564085160,1009.4894
1549564085199,1009.4894
1549564085238,1009.4894
1549564085276,1009.4918
1549564085314,1009.4918
1549564085354,1009.4918
1549564085390,1009.4918
1549564085432,1009.49744
1549564085468,1009.49744
1549564085506,1009.49744
1549564085544,1009.49744
1549564085583,1009.4938
1549564085622,1009.4938
1549564085665,1009.4938
1549564085699,1009.4938
1549564085739,1009.4938
1549564085775,1009.49615
1549564085814,1009.49615
1549564085856,1009.49615
1549564085892,1009.49615
1549564085929,1009.4973
1549564085967,1009.4973
1549564086006,1009.4973
1549564086046,1009.4973
1549564086083,1009.49524
1549564086122,1009.49524
1549564086162,1009.49524
1549564086198,1009.49524
1549564086238,1009.49646
1549564086278,1009.49646
1549564086314,1009.49646
1549564086352,1009.49646
1549564086395,1009.4882
1549564086434,1009.4882
1549564086467,1009.4882
1549564086506,1009.4882
1549564086545,1009.4804
1549564086585,1009.4804
1549564086662,1009.4804
1549564086690,1009.4804
1549564086719,1009.4739
1549564086735,1009.4739
1549564086775,1009.4739
1549564086816,1009.4739
1549564086854,1009.4645
1549564086891,1009.4645
1549564086935,1009.4645
1549564086966,1009.4645
1549564087005,1009.4645
1549564087046,1009.462
1549564087084,1009.462
1549564087125,1009.462
1549564087159,1009.462
1549564087201,1009.4603
1549564087238,1009.4603
1549564087276,1009.4603
1549564087313,1009.4603
1549564087353,1009.4545
1549564087390,1009.4545
1549564087430,1009.4545
